City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ferme-Neuve,CA,46.7001,-75.4493,48.96,68,100,6.69,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,51.48,99,89,1.99,overcast clouds
2,Vaini,TO,-21.2,-175.2,77.16,69,20,9.22,few clouds
3,Busselton,AU,-33.65,115.3333,56.28,87,72,3.02,broken clouds
4,Ribeira Grande,PT,38.5167,-28.7,63.0,88,40,13.8,scattered clouds
5,Talnakh,RU,69.4865,88.3972,5.13,94,89,7.52,overcast clouds
6,Lakes Entrance,AU,-37.8811,147.981,52.16,86,97,3.06,overcast clouds
7,Yarada,IN,17.65,83.2667,84.52,84,20,5.75,few clouds
8,Atuona,PF,-9.8,-139.0333,79.27,72,25,23.15,scattered clouds
9,Bredasdorp,ZA,-34.5322,20.0403,56.12,75,1,1.66,clear sky
10,Evensk,RU,61.95,159.2333,26.85,95,100,6.08,light snow
11,Alofi,NU,-19.0595,-169.9187,75.54,85,100,14.0,light rain
12,Rikitea,PF,-23.1203,-134.9692,78.15,74,100,22.57,overcast clouds
13,Anchorage,US,61.2181,-149.9003,50.88,56,0,4.61,clear sky
14,Barrow,US,71.2906,-156.7887,8.62,85,100,13.8,mist
15,Zaysan,KZ,47.4667,84.8667,43.11,47,44,7.96,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,37.94,95,100,3.89,light rain
17,Dikson,RU,73.5069,80.5464,2.61,98,94,9.75,overcast clouds
18,Coihaique,CL,-45.5752,-72.0662,41.61,87,75,4.61,broken clouds
19,Hithadhoo,MV,-0.6,73.0833,84.85,73,100,8.46,overcast clouds
20,Deputatskiy,RU,69.3,139.9,0.41,99,100,1.79,overcast clouds
21,Luderitz,NA,-26.6481,15.1594,67.32,41,0,9.19,clear sky
22,Longyearbyen,SJ,78.2186,15.6401,1.24,66,40,14.97,scattered clouds
23,Yeniseysk,RU,58.4497,92.1703,29.34,97,100,1.99,overcast clouds
24,Bluff,NZ,-46.6,168.3333,51.8,81,74,7.63,broken clouds
25,Norton,ZW,-17.8833,30.7,65.26,70,87,8.34,overcast clouds
26,Shenzhen,CN,22.5455,114.0683,81.21,95,4,5.08,clear sky
27,Yellowknife,CA,62.456,-114.3525,42.57,52,59,8.99,broken clouds
28,Ponta Do Sol,PT,32.6667,-17.1,65.71,75,35,4.59,scattered clouds
29,East London,ZA,-33.0153,27.9116,61.97,79,3,12.97,clear sky
30,Provideniya,RU,64.3833,-173.3,28.96,81,44,8.66,scattered clouds
31,Saskylakh,RU,71.9167,114.0833,-2.56,98,99,3.67,overcast clouds
32,Fortuna,US,40.5982,-124.1573,58.93,60,20,16.11,few clouds
33,Albany,US,42.6001,-73.9662,54.54,85,100,1.52,overcast clouds
34,Qaanaaq,GL,77.484,-69.3632,16.56,76,31,3.44,scattered clouds
35,Kapaa,US,22.0752,-159.319,78.78,89,100,14.97,moderate rain
36,Kumluca,TR,36.3703,30.2869,66.42,63,100,2.35,overcast clouds
37,Mareeba,AU,-17.0,145.4333,71.44,95,42,2.21,scattered clouds
38,Cidreira,BR,-30.1811,-50.2056,72.28,86,11,10.56,few clouds
39,Nikolskoye,RU,59.7035,30.7861,40.89,78,84,7.16,broken clouds
40,Kodiak,US,57.79,-152.4072,45.91,53,100,11.5,overcast clouds
41,Lompoc,US,34.6391,-120.4579,76.69,64,0,27.0,clear sky
42,Tranas,SE,58.0372,14.9782,41.4,64,74,2.01,broken clouds
43,Mount Gambier,AU,-37.8333,140.7667,59.56,76,100,6.02,overcast clouds
44,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,80,20,17.27,few clouds
45,Razole,IN,16.4833,81.8333,79.38,92,15,3.71,few clouds
46,Bethel,US,41.3712,-73.414,55.49,92,100,0.0,mist
47,Marzuq,YE,14.4,46.4667,75.81,61,74,3.71,broken clouds
48,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,92,0.0,overcast clouds
49,Novoagansk,RU,61.9449,76.6625,26.01,99,91,3.83,overcast clouds
50,Poum,NC,-20.2333,164.0167,76.26,63,100,17.02,overcast clouds
51,Upernavik,GL,72.7868,-56.1549,30.2,74,92,6.67,overcast clouds
52,Shingu,JP,33.7333,135.9833,67.89,98,100,5.23,moderate rain
53,Hilo,US,19.7297,-155.09,78.28,94,51,1.01,heavy intensity rain
